latitude,longitude,timestamp,unit,trip_id
39.04656,-95.0871,2023-12-08 19:52:28+00:00,1000,3
39.04565,-95.0894,2023-12-08 19:52:42+00:00,1000,3
39.04565,-95.0894,2023-12-08 19:52:42+00:00,1000,3
39.04565,-95.0894,2023-12-08 19:52:42+00:00,1000,3
39.04507,-95.09086,2023-12-08 19:52:50+00:00,1000,3
39.04507,-95.09086,2023-12-08 19:52:50+00:00,1000,3
39.04507,-95.09086,2023-12-08 19:52:50+00:00,1000,3
39.04494,-95.09119,2023-12-08 19:52:52+00:00,1000,3
39.04458,-95.09205,2023-12-08 19:52:57+00:00,1000,3
39.04435,-95.09255,2023-12-08 19:53:00+00:00,1000,3
39.04435,-95.09255,2023-12-08 19:53:00+00:00,1000,3
39.04435,-95.09256,2023-12-08 19:53:00+00:00,1000,3
39.04401,-95.09328,2023-12-08 19:53:05+00:00,1000,3
39.04368,-95.09397,2023-12-08 19:53:09+00:00,1000,3
39.04336,-95.09461,2023-12-08 19:53:13+00:00,1000,3
39.04295,-95.09537,2023-12-08 19:53:18+00:00,1000,3
39.04231,-95.09652,2023-12-08 19:53:25+00:00,1000,3
39.04179,-95.09742,2023-12-08 19:53:31+00:00,1000,3
39.04179,-95.09742,2023-12-08 19:53:31+00:00,1000,3
39.04179,-95.09742,2023-12-08 19:53:31+00:00,1000,3
39.04106,-95.09868,2023-12-08 19:53:39+00:00,1000,3
39.04051,-95.09963,2023-12-08 19:53:45+00:00,1000,3
39.03797,-95.10405,2023-12-08 19:54:13+00:00,1000,3
39.03698,-95.10578,2023-12-08 19:54:25+00:00,1000,3
39.03698,-95.10578,2023-12-08 19:54:25+00:00,1000,3
39.03698,-95.10578,2023-12-08 19:54:25+00:00,1000,3
39.03662,-95.10641,2023-12-08 19:54:29+00:00,1000,3
39.03459,-95.10993,2023-12-08 19:54:51+00:00,1000,3
39.03458,-95.10995,2023-12-08 19:54:51+00:00,1000,3
39.03458,-95.10995,2023-12-08 19:54:51+00:00,1000,3
39.03458,-95.10995,2023-12-08 19:54:51+00:00,1000,3
39.03425,-95.11052,2023-12-08 19:54:55+00:00,1000,3
39.02999,-95.11791,2023-12-08 19:55:43+00:00,1000,3
39.02999,-95.11791,2023-12-08 19:55:43+00:00,1000,3
39.02999,-95.11791,2023-12-08 19:55:43+00:00,1000,3
39.02811,-95.12119,2023-12-08 19:56:04+00:00,1000,3
39.02703,-95.12305,2023-12-08 19:56:16+00:00,1000,3
39.02703,-95.12305,2023-12-08 19:56:16+00:00,1000,3
39.02703,-95.12305,2023-12-08 19:56:16+00:00,1000,3
39.02415,-95.12806,2023-12-08 19:56:48+00:00,1000,3
39.02379,-95.1287,2023-12-08 19:56:52+00:00,1000,3
39.02347,-95.12933,2023-12-08 19:56:56+00:00,1000,3
39.02339,-95.12951,2023-12-08 19:56:57+00:00,1000,3
39.02339,-95.12951,2023-12-08 19:56:57+00:00,1000,3
39.02339,-95.12951,2023-12-08 19:56:57+00:00,1000,3
39.02324,-95.12982,2023-12-08 19:56:59+00:00,1000,3
39.02306,-95.13026,2023-12-08 19:57:02+00:00,1000,3
39.02286,-95.13076,2023-12-08 19:57:05+00:00,1000,3
39.02214,-95.13282,2023-12-08 19:57:16+00:00,1000,3
39.02214,-95.13282,2023-12-08 19:57:16+00:00,1000,3
39.02178,-95.13389,2023-12-08 19:57:23+00:00,1000,3
39.02152,-95.13456,2023-12-08 19:57:26+00:00,1000,3
39.02152,-95.13456,2023-12-08 19:57:26+00:00,1000,3
39.02152,-95.13456,2023-12-08 19:57:26+00:00,1000,3
39.02146,-95.13471,2023-12-08 19:57:27+00:00,1000,3
39.02119,-95.1353,2023-12-08 19:57:31+00:00,1000,3
39.02083,-95.13602,2023-12-08 19:57:35+00:00,1000,3
39.0205,-95.13662,2023-12-08 19:57:39+00:00,1000,3
39.02027,-95.137,2023-12-08 19:57:42+00:00,1000,3
39.02,-95.13743,2023-12-08 19:57:44+00:00,1000,3
39.01963,-95.13797,2023-12-08 19:57:48+00:00,1000,3
39.01928,-95.13843,2023-12-08 19:57:52+00:00,1000,3
39.01928,-95.13843,2023-12-08 19:57:52+00:00,1000,3
39.01928,-95.13843,2023-12-08 19:57:52+00:00,1000,3
39.01925,-95.13848,2023-12-08 19:57:52+00:00,1000,3
39.01866,-95.13918,2023-12-08 19:57:57+00:00,1000,3
39.01784,-95.14008,2023-12-08 19:58:04+00:00,1000,3
39.01718,-95.14081,2023-12-08 19:58:10+00:00,1000,3
39.01707,-95.14095,2023-12-08 19:58:11+00:00,1000,3
39.01692,-95.14111,2023-12-08 19:58:13+00:00,1000,3
39.01665,-95.14144,2023-12-08 19:58:15+00:00,1000,3
39.01642,-95.14174,2023-12-08 19:58:17+00:00,1000,3
39.01617,-95.14207,2023-12-08 19:58:20+00:00,1000,3
39.01588,-95.14248,2023-12-08 19:58:22+00:00,1000,3
39.0157,-95.14278,2023-12-08 19:58:24+00:00,1000,3
39.0157,-95.14278,2023-12-08 19:58:24+00:00,1000,3
39.0157,-95.14278,2023-12-08 19:58:24+00:00,1000,3
39.01544,-95.14319,2023-12-08 19:58:27+00:00,1000,3
39.01462,-95.14461,2023-12-08 19:58:36+00:00,1000,3
39.0142,-95.14534,2023-12-08 19:58:41+00:00,1000,3
39.0142,-95.14534,2023-12-08 19:58:41+00:00,1000,3
39.0142,-95.14534,2023-12-08 19:58:41+00:00,1000,3
39.0133,-95.1469,2023-12-08 19:58:51+00:00,1000,3
39.0133,-95.1469,2023-12-08 19:58:51+00:00,1000,3
39.0133,-95.1469,2023-12-08 19:58:51+00:00,1000,3
39.01286,-95.14765,2023-12-08 19:58:56+00:00,1000,3
39.01252,-95.14826,2023-12-08 19:59:00+00:00,1000,3
39.01223,-95.14881,2023-12-08 19:59:03+00:00,1000,3
39.01201,-95.14924,2023-12-08 19:59:06+00:00,1000,3
39.01173,-95.14981,2023-12-08 19:59:09+00:00,1000,3
39.01152,-95.15027,2023-12-08 19:59:12+00:00,1000,3
39.01129,-95.15081,2023-12-08 19:59:15+00:00,1000,3
39.01101,-95.1515,2023-12-08 19:59:19+00:00,1000,3
39.01088,-95.15185,2023-12-08 19:59:22+00:00,1000,3
39.01088,-95.15185,2023-12-08 19:59:22+00:00,1000,3
39.01088,-95.15185,2023-12-08 19:59:22+00:00,1000,3
39.01081,-95.15201,2023-12-08 19:59:22+00:00,1000,3
39.01054,-95.15278,2023-12-08 19:59:27+00:00,1000,3
39.01027,-95.15358,2023-12-08 19:59:31+00:00,1000,3
39.01003,-95.15438,2023-12-08 19:59:36+00:00,1000,3
39.00981,-95.15521,2023-12-08 19:59:40+00:00,1000,3
39.00913,-95.1577,2023-12-08 19:59:54+00:00,1000,3
39.00913,-95.1577,2023-12-08 19:59:54+00:00,1000,3
39.00913,-95.1577,2023-12-08 19:59:54+00:00,1000,3
39.0087,-95.15931,2023-12-08 20:00:03+00:00,1000,3
39.0087,-95.15931,2023-12-08 20:00:03+00:00,1000,3
39.0087,-95.15931,2023-12-08 20:00:03+00:00,1000,3
39.0082,-95.16116,2023-12-08 20:00:13+00:00,1000,3
39.00788,-95.16236,2023-12-08 20:00:20+00:00,1000,3
39.00772,-95.16287,2023-12-08 20:00:22+00:00,1000,3
39.0075,-95.16357,2023-12-08 20:00:26+00:00,1000,3
39.00722,-95.16438,2023-12-08 20:00:31+00:00,1000,3
39.00707,-95.16479,2023-12-08 20:00:33+00:00,1000,3
39.00707,-95.16479,2023-12-08 20:00:33+00:00,1000,3
39.00707,-95.16479,2023-12-08 20:00:33+00:00,1000,3
39.00696,-95.16508,2023-12-08 20:00:35+00:00,1000,3
39.00661,-95.16594,2023-12-08 20:00:40+00:00,1000,3
39.00619,-95.16688,2023-12-08 20:00:46+00:00,1000,3
39.00596,-95.16737,2023-12-08 20:00:49+00:00,1000,3
39.00576,-95.16776,2023-12-08 20:00:51+00:00,1000,3
39.00548,-95.16831,2023-12-08 20:00:54+00:00,1000,3
39.00548,-95.16831,2023-12-08 20:00:54+00:00,1000,3
39.00548,-95.16831,2023-12-08 20:00:54+00:00,1000,3
39.00539,-95.16849,2023-12-08 20:00:56+00:00,1000,3
39.00463,-95.16995,2023-12-08 20:01:05+00:00,1000,3
39.00287,-95.17333,2023-12-08 20:01:26+00:00,1000,3
39.00283,-95.17341,2023-12-08 20:01:26+00:00,1000,3
39.00283,-95.17341,2023-12-08 20:01:26+00:00,1000,3
39.00283,-95.17341,2023-12-08 20:01:26+00:00,1000,3
39.00128,-95.17638,2023-12-08 20:01:45+00:00,1000,3
39.00062,-95.17765,2023-12-08 20:01:53+00:00,1000,3
39.00014,-95.17856,2023-12-08 20:01:58+00:00,1000,3
38.99975,-95.17931,2023-12-08 20:02:03+00:00,1000,3
38.99934,-95.1801,2023-12-08 20:02:08+00:00,1000,3
38.99926,-95.18026,2023-12-08 20:02:09+00:00,1000,3
38.99926,-95.18026,2023-12-08 20:02:09+00:00,1000,3
38.99926,-95.18026,2023-12-08 20:02:09+00:00,1000,3
38.99889,-95.18096,2023-12-08 20:02:13+00:00,1000,3
38.99845,-95.18184,2023-12-08 20:02:19+00:00,1000,3
38.99827,-95.18225,2023-12-08 20:02:21+00:00,1000,3
38.998,-95.18287,2023-12-08 20:02:25+00:00,1000,3
38.99772,-95.18359,2023-12-08 20:02:29+00:00,1000,3
38.99759,-95.18394,2023-12-08 20:02:31+00:00,1000,3
38.99733,-95.18465,2023-12-08 20:02:35+00:00,1000,3
38.99722,-95.18502,2023-12-08 20:02:37+00:00,1000,3
38.99718,-95.18517,2023-12-08 20:02:38+00:00,1000,3
38.99718,-95.18517,2023-12-08 20:02:38+00:00,1000,3
38.99718,-95.18517,2023-12-08 20:02:38+00:00,1000,3
38.99712,-95.18539,2023-12-08 20:02:39+00:00,1000,3
38.99698,-95.18593,2023-12-08 20:02:42+00:00,1000,3
38.99685,-95.18657,2023-12-08 20:02:46+00:00,1000,3
38.9965,-95.18809,2023-12-08 20:02:54+00:00,1000,3
38.99633,-95.18888,2023-12-08 20:02:58+00:00,1000,3
38.9962,-95.18951,2023-12-08 20:03:02+00:00,1000,3
38.9962,-95.18951,2023-12-08 20:03:02+00:00,1000,3
38.9962,-95.18951,2023-12-08 20:03:02+00:00,1000,3
38.99587,-95.19105,2023-12-08 20:03:10+00:00,1000,3
38.99587,-95.19105,2023-12-08 20:03:10+00:00,1000,3
38.99587,-95.19105,2023-12-08 20:03:10+00:00,1000,3
38.99533,-95.19363,2023-12-08 20:03:24+00:00,1000,3
38.99513,-95.19456,2023-12-08 20:03:29+00:00,1000,3
38.99452,-95.19762,2023-12-08 20:03:45+00:00,1000,3
38.99416,-95.19935,2023-12-08 20:03:54+00:00,1000,3
38.99401,-95.20018,2023-12-08 20:03:59+00:00,1000,3
38.99398,-95.20042,2023-12-08 20:04:00+00:00,1000,3
38.99398,-95.20042,2023-12-08 20:04:00+00:00,1000,3
38.99398,-95.20042,2023-12-08 20:04:00+00:00,1000,3
38.99389,-95.20106,2023-12-08 20:04:03+00:00,1000,3
38.99381,-95.20199,2023-12-08 20:04:08+00:00,1000,3
38.99376,-95.20282,2023-12-08 20:04:13+00:00,1000,3
